"","effectsizeID","AuthorYear","SDG_theme","ancillary","classification_type","indices","RS_spatital_resolution_m","model_group","Confusion_matrix","RS_device_group","RS_device_type","DOI","Publication.Year","number_classes","fraction_majority_class","total","OA_reported","globalCitationsCount","RS_spatital_res_grouped","esid","studyID","event"
"1",1,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","1","Not Reported","Tree-Based Models","1","Landsat","Passive","10.3390/su142416687",2022,4,0.55425219941349,1705,0.968,4,"Not Reported",1,2,1650.44
"2",2,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","0","25","Tree-Based Models","1","Other","Active","10.3390/su142416687",2022,4,0.55425219941349,1705,0.966,4,"15-25",2,2,1647.03
"3",3,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","1","Not Reported","Tree-Based Models","1","Other","Combined","10.3390/su142416687",2022,4,0.55425219941349,1705,0.996,4,"Not Reported",3,2,1698.18
"4",4,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","1","Not Reported","Tree-Based Models","1","Landsat","Passive","10.3390/su142416687",2022,4,0.55425219941349,1705,0.989,4,"Not Reported",4,2,1686.245
"5",5,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","0","25","Tree-Based Models","1","Sentinel","Active","10.3390/su142416687",2022,4,0.55425219941349,1705,0.846,4,"15-25",5,2,1442.43
"6",6,"Aja et al. 2022","SDG 15: Life on Land","0","Pixel-level","1","Not Reported","Tree-Based Models","1","Other","Combined","10.3390/su142416687",2022,4,0.55425219941349,1705,0.991,4,"Not Reported",6,2,1689.655
"7",7,"Pareeth et al. 2019","SDG 2: Zero Hunger","0","Object-level","0","15","Tree-Based Models","0","Landsat","Passive","10.3390/rs11050601",2019,7,0.743917969567427,16725.5,0.872,31,"15-25",1,11,14584.636
"8",8,"Agrillo et al. 2021","SDG 15: Life on Land","1","Pixel-level","1","20","Tree-Based Models","1","Sentinel","Passive","10.3390/rs13071231",2021,3,0.570227497527201,2022,0.872,18,"15-25",1,1,1763.184
"9",9,"Agrillo et al. 2021","SDG 15: Life on Land","1","Pixel-level","1","20","Tree-Based Models","1","Sentinel","Passive","10.3390/rs13071231",2021,12,0.363874345549738,1146,0.676,18,"15-25",2,1,774.696
"10",10,"Agrillo et al. 2021","SDG 15: Life on Land","1","Pixel-level","1","20","Tree-Based Models","1","Sentinel","Passive","10.3390/rs13071231",2021,12,0.886645962732919,644,0.915,18,"15-25",3,1,589.26
"11",11,"Agrillo et al. 2021","SDG 15: Life on Land","1","Pixel-level","1","20","Tree-Based Models","1","Sentinel","Passive","10.3390/rs13071231",2021,12,0.219435736677116,319,0.762,18,"15-25",4,1,243.078
"12",12,"Mashaba-Munghemezulu et al. 2021","SDG 2: Zero Hunger","0","Pixel-level","0","10","Other","1","Landsat","Active","10.3390/rs13091666",2021,2,0.704221108280604,73014,0.971,12,"10",1,8,70896.594
"13",13,"Mashaba-Munghemezulu et al. 2021","SDG 2: Zero Hunger","0","Pixel-level","0","10","Tree-Based Models","1","Landsat","Active","10.3390/rs13091666",2021,2,0.727187871245121,73014,0.968,12,"10",2,8,70677.552
"14",14,"Fagua et al. 2023","SDG 15: Life on Land","1","Pixel-level","1","10","Tree-Based Models","0","Sentinel","Combined","10.3390/rs15102522",2023,8,0.51,14850,0.81,2,"10",1,4,12028.5
"15",15,"Fagua et al. 2023","SDG 15: Life on Land","1","Pixel-level","1","10","Tree-Based Models","0","Sentinel","Combined","10.3390/rs15102522",2023,10,0.43,14850,0.73,2,"10",2,4,10840.5
"16",16,"Tao et al. 2019","SDG 2: Zero Hunger","0","Pixel-level","1","30","Neural Networks","0","Landsat","Passive","10.1016/j.ifacol.2019.12.511",2019,2,0.7538,761337,0.93,4,"30",1,18,708043.41
"17",17,"Tao et al. 2019","SDG 2: Zero Hunger","0","Pixel-level","1","30","Other","0","Landsat","Passive","10.1016/j.ifacol.2019.12.511",2019,2,0.7538,761337,0.92,4,"30",2,18,700430.04
"18",18,"Tao et al. 2019","SDG 2: Zero Hunger","0","Pixel-level","1","30","Other","0","Landsat","Passive","10.1016/j.ifacol.2019.12.511",2019,2,0.7538,761337,0.9,4,"30",3,18,685203.3
"19",19,"Shaharum et al. 2020","SDG 2: Zero Hunger","0","Unclear","1","30","Other","0","Landsat","Passive","10.1016/j.rsase.2020.100287",2020,7,0.254604550379198,1846,0.9316,52,"30",1,14,1719.7336
"20",20,"Shaharum et al. 2020","SDG 2: Zero Hunger","0","Unclear","1","30","Tree-Based Models","0","Landsat","Passive","10.1016/j.rsase.2020.100287",2020,7,0.254604550379198,1846,0.865,52,"30",2,14,1596.79
"21",21,"Shaharum et al. 2020","SDG 2: Zero Hunger","0","Unclear","1","30","Tree-Based Models","0","Landsat","Passive","10.1016/j.rsase.2020.100287",2020,7,0.254604550379198,1846,0.8008,52,"30",3,14,1478.2768
"22",22,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.601,70572,0.896,39,"15-25",1,6,63232.512
"23",23,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.665,59643,0.855,39,"15-25",2,6,50994.765
"24",24,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.613,82606,0.796,39,"15-25",3,6,65754.376
"25",25,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.717,427796,0.82,39,"15-25",4,6,350792.72
"26",26,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.543,92248,0.776,39,"15-25",5,6,71584.448
"27",27,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.859,34740,0.899,39,"15-25",6,6,31231.26
"28",28,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.614,54162,0.903,39,"15-25",7,6,48908.286
"29",29,"Xia et al. 2022","SDG 11: Sustainable Cities and Communities","0","Object-level","1","30","Tree-Based Models","1","Landsat","Passive","10.1016/j.egyr.2022.03.039",2022,2,0.5,400,0.928,38,"30",1,20,371.2
"30",30,"Xia et al. 2022","SDG 11: Sustainable Cities and Communities","0","Object-level","1","30","Tree-Based Models","1","Landsat","Passive","10.1016/j.egyr.2022.03.039",2022,2,0.5,400,0.918,38,"30",2,20,367.2
"31",31,"Li et al. 2022","SDG 15: Life on Land","0","Object-level","0","10","Neural Networks","0","Sentinel","Passive","10.1016/j.jag.2022.102804",2022,12,0.141666666666667,1200,0.73,9,"10",1,7,876
"32",32,"Li et al. 2022","SDG 15: Life on Land","1","Object-level","0","10","Neural Networks","0","Sentinel","Passive","10.1016/j.jag.2022.102804",2022,12,0.141666666666667,1200,0.7483,9,"10",2,7,897.96
