dataset,DOI,AuthorYear,Publication.Year,globalCitationsCount,location,SDG_theme,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_device_group,RS_spectral_bands_no,RS_spatital_resolution_m,Confusion_matrix,OA_reported,number_classes,fraction_majority_class,total,no_band_group,RS_spatital_res_grouped,esid,event
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,8,Not Reported,Reported,0.989,4,0.554252199,1705,Mid,Not Reported,1,1686.245
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,8,Not Reported,Reported,0.968,4,0.554252199,1705,Mid,Not Reported,2,1650.44
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Used,Combined,satellite,Other,9,Not Reported,Reported,0.991,4,0.554252199,1705,Mid,Not Reported,3,1689.655
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Used,Combined,satellite,Other,9,Not Reported,Reported,0.996,4,0.554252199,1705,Mid,Not Reported,4,1698.18
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,25,Reported,0.966,4,0.554252199,1705,Low,10-30 metres,5,1647.03
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,4,Ghana,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Sentinel,1,25,Reported,0.846,4,0.554252199,1705,Low,10-30 metres,6,1442.43
nina_2024,10.3390/rs11050601,Pareeth et al. 2019,2019,31,Iran,SDG2: Zero Hunger,Object-level,Tree-Based Models,Remote Sensing Only,Not Used,Passive,satellite,Landsat,7,15,Not Reported,0.872,7,0.74391797,16725.5,Mid,10-30 metres,1,14584.636
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,18,Italy,SDG15: Life on Land,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Passive,satellite,Sentinel,10,20,Reported,0.872,3,0.570227498,2022,Mid,10-30 metres,1,1763.184
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,18,Italy,SDG15: Life on Land,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Passive,satellite,Sentinel,10,20,Reported,0.676,12,0.363874346,1146,Mid,10-30 metres,2,774.696
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,18,Italy,SDG15: Life on Land,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Passive,satellite,Sentinel,10,20,Reported,0.915,12,0.886645963,644,Mid,10-30 metres,3,589.26
